root - 2024-02-27 09:20:32,123 - INFO- config.py - 11 - Application Advanced is started!
root - 2024-02-27 09:20:58,280 - INFO- config.py - 11 - Application Template is started!
root - 2024-02-27 09:20:58,280 - DEBUG- config.py - 18 - Configuration file is loaded
root - 2024-03-01 11:05:00,677 - INFO- config.py - 16 - Application Template is started!
root - 2024-03-01 11:05:00,678 - DEBUG- config.py - 23 - Configuration file is loaded
root - 2024-03-14 08:52:04,057 - INFO- config.py - 16 - Application Template is started!
root - 2024-03-14 08:52:04,062 - DEBUG- config.py - 23 - Configuration file is loaded
root - 2024-03-14 08:52:24,567 - INFO- config.py - 16 - Application Template is started!
root - 2024-03-14 08:52:24,568 - DEBUG- config.py - 23 - Configuration file is loaded
root - 2024-03-14 08:59:06,930 - INFO- config.py - 16 - Application Template is started!
root - 2024-03-14 08:59:06,931 - DEBUG- config.py - 23 - Configuration file is loaded
root - 2024-03-14 09:27:06,252 - INFO- config.py - 16 - Application Template is started!
root - 2024-03-14 09:27:06,252 - DEBUG- config.py - 23 - Configuration file is loaded
